70436, 22, 71.958, 12, 12
98412, 23, 109.408, 15, 15
11718, 17, 8.948, 13, 13
134664, 25, 156.791, 17, 17
5209, 16, 3.709, 10, 10
59830, 22, 58.092, 12, 12
71614, 22, 74.245, 14, 14
42704, 21, 37.72, 11, 11
10486, 17, 7.845, 8, 8
55230, 21, 53.899, 13, 13
86288, 23, 90.113, 15, 15
87902, 23, 92.354, 11, 11
24271, 19, 19.637, 13, 13
67445, 22, 67.812, 14, 14
21294, 19, 16.748, 13, 13
67976, 22, 67.426, 10, 10
30932, 20, 26.102, 10, 10
51926, 21, 49.181, 19, 19
74010, 22, 77.439, 18, 18
57200, 22, 54.511, 16, 16
6175, 16, 4.47, 14, 14
4890, 16, 3.401, 10, 10
128087, 25, 147.209, 15, 15
59140, 22, 57.527, 14, 14
86044, 23, 90.215, 13, 13
124428, 25, 140.591, 15, 15
55828, 21, 54.611, 15, 15
1904, 13, 1.331, 7, 7
89286, 23, 95.108, 14, 14
96167, 24, 102.966, 17, 17
108997, 24, 122.031, 14, 14
6800, 16, 4.996, 12, 12
12237, 18, 9.058, 16, 16
91221, 23, 97.913, 13, 13
146642, 26, 174.197, 14, 14
166169, 27, 202.809, 17, 17
61999, 22, 61.451, 14, 14
149038, 26, 177.899, 14, 14
66394, 22, 67.616, 12, 12
134964, 25, 159.948, 13, 13
3528, 14, 2.487, 8, 8
141058, 25, 168.087, 19, 19
51334, 21, 48.432, 11, 11
147235, 26, 176.169, 16, 16
96629, 24, 103.287, 14, 14
117820, 24, 133.926, 20, 20
12721, 18, 9.508, 14, 14
82402, 23, 85.19, 15, 15
55950, 21, 54.878, 11, 11
170358, 28, 207.893, 16, 16
41346, 20, 37.795, 12, 12
163708, 27, 198.361, 15, 15
25948, 19, 21.706, 11, 11
146431, 26, 175.074, 16, 16
16644, 18, 12.753, 12, 12
113398, 24, 129.581, 16, 16
12763, 18, 9.586, 8, 8
102477, 24, 112.83, 12, 12
91593, 23, 98.726, 17, 17
116022, 24, 132.58, 16, 16
170975, 27, 210.461, 19, 19
132375, 25, 155.112, 13, 13
43631, 21, 38.434, 15, 15
61343, 22, 59.906, 18, 18
173107, 28, 211.005, 15, 15
37323, 20, 33.736, 16, 16
166627, 27, 203.679, 17, 17
165544, 27, 202.079, 15, 15
136365, 25, 160.161, 19, 19
101428, 24, 110.491, 10, 10
99337, 24, 107.35, 16, 16
69657, 22, 71.695, 16, 16
169153, 27, 206.565, 15, 15
146614, 26, 174.915, 18, 18
136769, 25, 160.22, 11, 11
144168, 26, 170.573, 20, 20
32178, 20, 27.38, 14, 14
149505, 26, 179.759, 16, 16
6810, 16, 5.046, 10, 10
165286, 27, 201.244, 17, 17
20088, 19, 15.566, 11, 11
134133, 25, 157.117, 21, 21
3471, 15, 2.367, 11, 11
9452, 17, 6.903, 13, 13
4001, 15, 2.777, 7, 7
134421, 25, 156.77, 17, 17
10951, 17, 8.214, 11, 11
165164, 27, 200.541, 17, 17
32194, 20, 27.711, 8, 8
37083, 20, 32.543, 12, 12
163614, 27, 198.126, 21, 21
145000, 26, 171.355, 18, 18
68791, 22, 68.511, 12, 12
69185, 22, 70.661, 14, 14
66051, 22, 66.425, 12, 12
25603, 19, 21.103, 17, 17
30499, 20, 25.689, 8, 8
45472, 21, 41.082, 9, 9
106698, 24, 120.568, 15, 15
130566, 25, 150.855, 13, 13
